xintercept	showSelected1	showSelected2
-2.02930047961761	4	1
-1.65868662930376	4	2
-1.26225275315698	4	3
-0.802349000122638	4	4
-0.381835300424372	4	5
-0.131958271120483	4	6
0.131488785686559	4	7
-2.02930047961761	4.05	1
-1.65868662930376	4.05	2
-1.26225275315698	4.05	3
-0.827349000122638	4.05	4
-0.431835300424371	4.05	5
-0.181958271120483	4.05	6
0.0814887856865591	4.05	7
-2.02930047961761	4.1	1
-1.65868662930376	4.1	2
-1.26225275315698	4.1	3
-0.852349000122638	4.1	4
-0.481835300424371	4.1	5
-0.231958271120482	4.1	6
0.0314887856865592	4.1	7
-2.02930047961761	4.15	1
-1.65868662930376	4.15	2
-1.26225275315698	4.15	3
-0.877349000122638	4.15	4
-0.531835300424372	4.15	5
-0.281958271120483	4.15	6
-0.0185112143134415	4.15	7
-2.02930047961761	4.2	1
-1.65868662930376	4.2	2
-1.26225275315698	4.2	3
-0.902349000122638	4.2	4
-0.581835300424372	4.2	5
-0.331958271120483	4.2	6
-0.0685112143134413	4.2	7
-2.02930047961761	4.25	1
-1.65868662930376	4.25	2
-1.26225275315698	4.25	3
-0.927349000122638	4.25	4
-0.631835300424372	4.25	5
-0.381958271120483	4.25	6
-0.118511214313441	4.25	7
-2.02930047961761	4.3	1
-1.65868662930376	4.3	2
-1.26225275315698	4.3	3
-0.952349000122638	4.3	4
-0.681835300424371	4.3	5
-0.431958271120483	4.3	6
-0.168511214313441	4.3	7
-2.02930047961761	4.35	1
-1.65868662930376	4.35	2
-1.26225275315698	4.35	3
-0.977349000122638	4.35	4
-0.731835300424371	4.35	5
-0.481958271120482	4.35	6
-0.218511214313441	4.35	7
-2.02930047961761	4.4	1
-1.65868662930376	4.4	2
-1.26225275315698	4.4	3
-1.00234900012264	4.4	4
-0.781835300424372	4.4	5
-0.531958271120483	4.4	6
-0.268511214313441	4.4	7
-2.02930047961761	4.45	1
-1.65868662930376	4.45	2
-1.26225275315698	4.45	3
-1.02734900012264	4.45	4
-0.831835300424372	4.45	5
-0.581958271120483	4.45	6
-0.318511214313441	4.45	7
-2.02930047961761	4.5	1
-1.65868662930376	4.5	2
-1.26225275315698	4.5	3
-1.05234900012264	4.5	4
-0.881835300424372	4.5	5
-0.631958271120483	4.5	6
-0.368511214313441	4.5	7
-2.02930047961761	4.55	1
-1.65868662930376	4.55	2
-1.26225275315698	4.55	3
-1.07734900012264	4.55	4
-0.931835300424371	4.55	5
-0.681958271120483	4.55	6
-0.418511214313441	4.55	7
-2.02930047961761	4.6	1
-1.65868662930376	4.6	2
-1.26225275315698	4.6	3
-1.10234900012264	4.6	4
-0.981835300424371	4.6	5
-0.731958271120482	4.6	6
-0.468511214313441	4.6	7
-2.02930047961761	4.65	1
-1.65868662930376	4.65	2
-1.26225275315698	4.65	3
-1.12734900012264	4.65	4
-1.03183530042437	4.65	5
-0.781958271120483	4.65	6
-0.518511214313442	4.65	7
