x	y	showSelected1	group
0	0	4	-1
0	1	4	-1
0	0	4	-1
0	1	4	-1
1	1	4	-1
0	1	4	-1
1	1	4	-1
0	0	4.05	-1
0	1	4.05	-1
0	0	4.05	-1
0	1	4.05	-1
1	1	4.05	-1
0	1	4.05	-1
1	1	4.05	-1
0	0	4.1	-1
0	1	4.1	-1
0	0	4.1	-1
0	1	4.1	-1
1	1	4.1	-1
0	1	4.1	-1
1	1	4.1	-1
0	0	4.15	-1
0	1	4.15	-1
0	0	4.15	-1
0	1	4.15	-1
1	1	4.15	-1
0	1	4.15	-1
1	1	4.15	-1
0	0	4.2	-1
0	1	4.2	-1
0	0	4.2	-1
0	1	4.2	-1
1	1	4.2	-1
0	1	4.2	-1
1	1	4.2	-1
0	0	4.25	-1
0	1	4.25	-1
0	0	4.25	-1
0	1	4.25	-1
1	1	4.25	-1
0	1	4.25	-1
1	1	4.25	-1
0	0	4.3	-1
0	1	4.3	-1
0	0	4.3	-1
0	1	4.3	-1
1	1	4.3	-1
0	1	4.3	-1
1	1	4.3	-1
0	0	4.35	-1
0	1	4.35	-1
0	0	4.35	-1
0	1	4.35	-1
1	1	4.35	-1
0	1	4.35	-1
1	1	4.35	-1
0	0	4.4	-1
0	1	4.4	-1
0	0	4.4	-1
0	1	4.4	-1
1	1	4.4	-1
0	1	4.4	-1
1	1	4.4	-1
0	0	4.45	-1
0	1	4.45	-1
0	0	4.45	-1
0	1	4.45	-1
1	1	4.45	-1
0	1	4.45	-1
1	1	4.45	-1
0	0	4.5	-1
0	1	4.5	-1
0	0	4.5	-1
0	1	4.5	-1
1	1	4.5	-1
0	1	4.5	-1
1	1	4.5	-1
0	0	4.55	-1
0	1	4.55	-1
0	0	4.55	-1
0	1	4.55	-1
1	1	4.55	-1
0	1	4.55	-1
1	1	4.55	-1
0	0	4.6	-1
0	1	4.6	-1
0	0	4.6	-1
0	1	4.6	-1
1	1	4.6	-1
0	1	4.6	-1
1	1	4.6	-1
0	0	4.65	-1
0	1	4.65	-1
0	0	4.65	-1
0	1	4.65	-1
1	1	4.65	-1
0	1	4.65	-1
1	1	4.65	-1
0	0	4.66816745440284	-1
0	1	4.66816745440284	-1
0	0	4.66816745440284	-1
1	1	4.66816745440284	-1
0	1	4.66816745440284	-1
1	1	4.66816745440284	-1
0	0	4.7	-1
0	1	4.7	-1
0	0	4.7	-1
1	0	4.7	-1
1	1	4.7	-1
0	1	4.7	-1
1	1	4.7	-1
0	0	4.75	-1
0	1	4.75	-1
0	0	4.75	-1
1	0	4.75	-1
1	1	4.75	-1
0	1	4.75	-1
1	1	4.75	-1
0	0	4.8	-1
0	1	4.8	-1
0	0	4.8	-1
1	0	4.8	-1
1	1	4.8	-1
0	1	4.8	-1
1	1	4.8	-1
0	0	4.84102739939653	-1
0	1	4.84102739939653	-1
0	0	4.84102739939653	-1
1	0	4.84102739939653	-1
0	1	4.84102739939653	-1
1	1	4.84102739939653	-1
0	0	4.85	-1
0	1	4.85	-1
0	0	4.85	-1
1	0	4.85	-1
0	0	4.85	-1
0	1	4.85	-1
1	1	4.85	-1
0	0	4.9	-1
0	1	4.9	-1
0	0	4.9	-1
1	0	4.9	-1
0	0	4.9	-1
0	1	4.9	-1
1	1	4.9	-1
0	0	4.91980750606868	-1
0	1	4.91980750606868	-1
1	0	4.91980750606868	-1
0	0	4.91980750606868	-1
0	1	4.91980750606868	-1
1	1	4.91980750606868	-1
0	0	4.95	-1
0	1	4.95	-1
1	1	4.95	-1
1	0	4.95	-1
0	0	4.95	-1
0	1	4.95	-1
1	1	4.95	-1
0	0	5	-1
0	1	5	-1
1	1	5	-1
1	0	5	-1
0	0	5	-1
0	1	5	-1
1	1	5	-1
0	0	5.05	-1
0	1	5.05	-1
1	1	5.05	-1
1	0	5.05	-1
0	0	5.05	-1
0	1	5.05	-1
1	1	5.05	-1
0	0	5.09266745106238	-1
0	1	5.09266745106238	-1
1	1	5.09266745106238	-1
0	0	5.09266745106238	-1
0	1	5.09266745106238	-1
1	1	5.09266745106238	-1
0	0	5.1	-1
0	1	5.1	-1
1	1	5.1	-1
0	1	5.1	-1
0	0	5.1	-1
0	1	5.1	-1
1	1	5.1	-1
0	0	5.15	-1
0	1	5.15	-1
1	1	5.15	-1
0	1	5.15	-1
0	0	5.15	-1
0	1	5.15	-1
1	1	5.15	-1
0	0	5.16792151301062	-1
0	1	5.16792151301062	-1
1	1	5.16792151301062	-1
0	1	5.16792151301062	-1
0	0	5.16792151301062	-1
1	1	5.16792151301062	-1
0	0	5.2	-1
0	1	5.2	-1
1	1	5.2	-1
0	1	5.2	-1
0	0	5.2	-1
1	0	5.2	-1
1	1	5.2	-1
0	0	5.25	-1
0	1	5.25	-1
1	1	5.25	-1
0	1	5.25	-1
0	0	5.25	-1
1	0	5.25	-1
1	1	5.25	-1
0	0	5.3	-1
0	1	5.3	-1
1	1	5.3	-1
0	1	5.3	-1
0	0	5.3	-1
1	0	5.3	-1
1	1	5.3	-1
0	0	5.35	-1
0	1	5.35	-1
1	1	5.35	-1
0	1	5.35	-1
0	0	5.35	-1
1	0	5.35	-1
1	1	5.35	-1
0	0	5.4	-1
0	1	5.4	-1
1	1	5.4	-1
0	1	5.4	-1
0	0	5.4	-1
1	0	5.4	-1
1	1	5.4	-1
0	0	5.41956156467646	-1
0	1	5.41956156467646	-1
1	1	5.41956156467646	-1
0	1	5.41956156467646	-1
1	0	5.41956156467646	-1
1	1	5.41956156467646	-1
0	0	5.45	-1
0	1	5.45	-1
1	1	5.45	-1
0	1	5.45	-1
1	1	5.45	-1
1	0	5.45	-1
1	1	5.45	-1
0	0	5.46103520669639	-1
1	1	5.46103520669639	-1
0	1	5.46103520669639	-1
1	1	5.46103520669639	-1
1	0	5.46103520669639	-1
1	1	5.46103520669639	-1
0	0	5.5	-1
1	0	5.5	-1
1	1	5.5	-1
0	1	5.5	-1
1	1	5.5	-1
1	0	5.5	-1
1	1	5.5	-1
0	0	5.55	-1
1	0	5.55	-1
1	1	5.55	-1
0	1	5.55	-1
1	1	5.55	-1
1	0	5.55	-1
1	1	5.55	-1
0	0	5.6	-1
1	0	5.6	-1
1	1	5.6	-1
0	1	5.6	-1
1	1	5.6	-1
1	0	5.6	-1
1	1	5.6	-1
0	0	5.63389515169009	-1
1	0	5.63389515169009	-1
0	1	5.63389515169009	-1
1	1	5.63389515169009	-1
1	0	5.63389515169009	-1
1	1	5.63389515169009	-1
0	0	5.65	-1
1	0	5.65	-1
0	0	5.65	-1
0	1	5.65	-1
1	1	5.65	-1
1	0	5.65	-1
1	1	5.65	-1
0	0	5.7	-1
1	0	5.7	-1
0	0	5.7	-1
0	1	5.7	-1
1	1	5.7	-1
1	0	5.7	-1
1	1	5.7	-1
0	0	5.75	-1
1	0	5.75	-1
0	0	5.75	-1
0	1	5.75	-1
1	1	5.75	-1
1	0	5.75	-1
1	1	5.75	-1
0	0	5.8	-1
1	0	5.8	-1
0	0	5.8	-1
0	1	5.8	-1
1	1	5.8	-1
1	0	5.8	-1
1	1	5.8	-1
0	0	5.85	-1
1	0	5.85	-1
0	0	5.85	-1
0	1	5.85	-1
1	1	5.85	-1
1	0	5.85	-1
1	1	5.85	-1
0	0	5.9	-1
1	0	5.9	-1
0	0	5.9	-1
0	1	5.9	-1
1	1	5.9	-1
1	0	5.9	-1
1	1	5.9	-1
0	0	5.95	-1
1	0	5.95	-1
0	0	5.95	-1
0	1	5.95	-1
1	1	5.95	-1
1	0	5.95	-1
1	1	5.95	-1
0	0	5.96078926530417	-1
1	0	5.96078926530417	-1
0	0	5.96078926530417	-1
1	1	5.96078926530417	-1
1	0	5.96078926530417	-1
1	1	5.96078926530417	-1
0	0	6	-1
1	0	6	-1
0	0	6	-1
1	0	6	-1
1	1	6	-1
1	0	6	-1
1	1	6	-1
0	0	6.05	-1
1	0	6.05	-1
0	0	6.05	-1
1	0	6.05	-1
1	1	6.05	-1
1	0	6.05	-1
1	1	6.05	-1
0	0	6.1	-1
1	0	6.1	-1
0	0	6.1	-1
1	0	6.1	-1
1	1	6.1	-1
1	0	6.1	-1
