x	y	label	clickSelects	showSelected1	group
0.04	0.01	1	1	4	-1
0.04	1.01	2	2	4	-1
0.08	0.01	3	3	4	-1
0.08	1.01	4	4	4	-1
1.04	1.01	5	5	4	-1
0.12	1.01	6	6	4	-1
1.08	1.01	7	7	4	-1
0.04	0.01	1	1	4.05	-1
0.04	1.01	2	2	4.05	-1
0.08	0.01	3	3	4.05	-1
0.08	1.01	4	4	4.05	-1
1.04	1.01	5	5	4.05	-1
0.12	1.01	6	6	4.05	-1
1.08	1.01	7	7	4.05	-1
0.04	0.01	1	1	4.1	-1
0.04	1.01	2	2	4.1	-1
0.08	0.01	3	3	4.1	-1
0.08	1.01	4	4	4.1	-1
1.04	1.01	5	5	4.1	-1
0.12	1.01	6	6	4.1	-1
1.08	1.01	7	7	4.1	-1
0.04	0.01	1	1	4.15	-1
0.04	1.01	2	2	4.15	-1
0.08	0.01	3	3	4.15	-1
0.08	1.01	4	4	4.15	-1
1.04	1.01	5	5	4.15	-1
0.12	1.01	6	6	4.15	-1
1.08	1.01	7	7	4.15	-1
0.04	0.01	1	1	4.2	-1
0.04	1.01	2	2	4.2	-1
0.08	0.01	3	3	4.2	-1
0.08	1.01	4	4	4.2	-1
1.04	1.01	5	5	4.2	-1
0.12	1.01	6	6	4.2	-1
1.08	1.01	7	7	4.2	-1
0.04	0.01	1	1	4.25	-1
0.04	1.01	2	2	4.25	-1
0.08	0.01	3	3	4.25	-1
0.08	1.01	4	4	4.25	-1
1.04	1.01	5	5	4.25	-1
0.12	1.01	6	6	4.25	-1
1.08	1.01	7	7	4.25	-1
0.04	0.01	1	1	4.3	-1
0.04	1.01	2	2	4.3	-1
0.08	0.01	3	3	4.3	-1
0.08	1.01	4	4	4.3	-1
1.04	1.01	5	5	4.3	-1
0.12	1.01	6	6	4.3	-1
1.08	1.01	7	7	4.3	-1
0.04	0.01	1	1	4.35	-1
0.04	1.01	2	2	4.35	-1
0.08	0.01	3	3	4.35	-1
0.08	1.01	4	4	4.35	-1
1.04	1.01	5	5	4.35	-1
0.12	1.01	6	6	4.35	-1
1.08	1.01	7	7	4.35	-1
0.04	0.01	1	1	4.4	-1
0.04	1.01	2	2	4.4	-1
0.08	0.01	3	3	4.4	-1
0.08	1.01	4	4	4.4	-1
1.04	1.01	5	5	4.4	-1
0.12	1.01	6	6	4.4	-1
1.08	1.01	7	7	4.4	-1
0.04	0.01	1	1	4.45	-1
0.04	1.01	2	2	4.45	-1
0.08	0.01	3	3	4.45	-1
0.08	1.01	4	4	4.45	-1
1.04	1.01	5	5	4.45	-1
0.12	1.01	6	6	4.45	-1
1.08	1.01	7	7	4.45	-1
0.04	0.01	1	1	4.5	-1
0.04	1.01	2	2	4.5	-1
0.08	0.01	3	3	4.5	-1
0.08	1.01	4	4	4.5	-1
1.04	1.01	5	5	4.5	-1
0.12	1.01	6	6	4.5	-1
1.08	1.01	7	7	4.5	-1
0.04	0.01	1	1	4.55	-1
0.04	1.01	2	2	4.55	-1
0.08	0.01	3	3	4.55	-1
0.08	1.01	4	4	4.55	-1
1.04	1.01	5	5	4.55	-1
0.12	1.01	6	6	4.55	-1
